City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Souillac,MU,2022-03-08 20:35:50,-20.5167,57.5167,77.38,88,40,2.3
68,Ranghulu,CN,2022-03-08 20:35:50,46.65,124.8667,21.15,99,99,5.28
69,Pevek,RU,2022-03-08 20:35:51,69.7008,170.3133,-10.84,100,70,1.66
70,Kruisfontein,ZA,2022-03-08 20:34:57,-34.0033,24.7314,67.89,83,67,11.01
71,Airai,TL,2022-03-08 20:35:52,-8.9266,125.4092,59.61,94,100,2.42
72,Busselton,AU,2022-03-08 20:33:23,-33.65,115.3333,66.04,66,53,11.18
73,Mahibadhoo,MV,2022-03-08 20:35:53,3.7833,72.9667,81.55,72,62,7.61
74,Buala,SB,2022-03-08 20:35:53,-8.145,159.5921,81.81,80,100,6.22
75,Nguruka,TZ,2022-03-08 20:35:54,-5.1092,31.0419,66.22,93,100,0.43
76,Bluff,NZ,2022-03-08 20:35:54,-46.6,168.3333,54.81,93,100,11.45
77,Le Port,RE,2022-03-08 20:35:55,-20.9373,55.2919,78.8,90,89,4.12
78,Maumere,ID,2022-03-08 20:35:55,-8.6199,122.2111,78.67,82,100,3.29
79,Ulkan,RU,2022-03-08 20:35:56,57.243,107.3223,23.47,98,100,3.09
80,Ushuaia,AR,2022-03-08 20:32:51,-54.8,-68.3,53.26,76,75,13.8
81,Upernavik,GL,2022-03-08 20:34:29,72.7868,-56.1549,-4.88,92,85,5.48
82,Mount Gambier,AU,2022-03-08 20:35:57,-37.8333,140.7667,57.11,77,100,17.27
83,Hofn,IS,2022-03-08 20:35:57,64.2539,-15.2082,41.74,82,100,21.32
84,Tuktoyaktuk,CA,2022-03-08 20:35:57,69.4541,-133.0374,-4.0,84,75,3.44
85,Albany,US,2022-03-08 20:33:56,42.6001,-73.9662,41.31,39,58,10.0
86,Nova Londrina,BR,2022-03-08 20:35:58,-22.7658,-52.985,89.92,47,25,7.14
87,Saskylakh,RU,2022-03-08 20:35:56,71.9167,114.0833,-28.66,100,79,5.32
88,East London,ZA,2022-03-08 20:35:10,-33.0153,27.9116,72.27,72,99,4.74
89,Pokhara,NP,2022-03-08 20:35:59,28.2333,83.9833,63.25,21,33,6.82
90,Itupiranga,BR,2022-03-08 20:35:59,-5.1347,-49.3267,86.32,87,99,2.46
91,Shingu,JP,2022-03-08 20:36:00,33.7333,135.9833,36.91,54,15,5.41
92,Ndende,GA,2022-03-08 20:36:00,-2.4008,11.3581,76.5,95,100,2.06
93,Aklavik,CA,2022-03-08 20:36:01,68.2191,-135.0107,4.03,85,20,9.22
94,Kavaratti,IN,2022-03-08 20:36:02,10.5669,72.642,81.68,69,3,5.23
95,Coihaique,CL,2022-03-08 20:36:02,-45.5752,-72.0662,48.81,81,100,5.75
96,Sao Joao Da Barra,BR,2022-03-08 20:37:03,-21.6403,-41.0511,84.29,81,9,12.3
97,Muros,ES,2022-03-08 20:37:03,42.7762,-9.0603,53.1,81,100,11.27
98,Saint George,US,2022-03-08 20:36:39,37.1041,-113.5841,56.62,22,0,3.44
99,Obidos,BR,2022-03-08 20:37:04,-1.9175,-55.5181,81.66,81,59,3.29
100,Urdoma,RU,2022-03-08 20:37:05,61.7533,48.5442,-14.21,100,46,0.83
101,Port Alfred,ZA,2022-03-08 20:37:05,-33.5906,26.891,72.12,73,79,10.09
102,Atuona,PF,2022-03-08 20:37:06,-9.8,-139.0333,78.33,78,7,14.18
103,Port Blair,IN,2022-03-08 20:36:27,11.6667,92.75,77.04,88,40,2.3
104,Matara,LK,2022-03-08 20:37:07,5.9485,80.5353,75.47,92,58,7.52
105,Puerto Ayora,EC,2022-03-08 20:37:08,-0.7393,-90.3518,85.96,74,72,1.14
106,Arraial Do Cabo,BR,2022-03-08 20:33:33,-22.9661,-42.0278,82.36,65,0,23.02
107,Torbay,CA,2022-03-08 20:35:33,47.6666,-52.7314,38.57,91,100,37.98
108,Zhumadian,CN,2022-03-08 20:37:09,32.9794,114.0294,50.34,69,0,5.68
109,Beloha,MG,2022-03-08 20:37:10,-25.1667,45.05,73.99,92,0,8.37
110,Ilulissat,GL,2022-03-08 20:34:36,69.2167,-51.1,8.62,47,20,8.05
111,Kaniama,CD,2022-03-08 20:37:10,-7.5667,24.1833,67.37,94,100,3.24
112,Compiegne,FR,2022-03-08 20:37:11,49.4179,2.8261,49.08,73,0,6.42
113,Talnakh,RU,2022-03-08 20:37:12,69.4865,88.3972,-28.95,94,100,4.03
114,Bocas Del Toro,PA,2022-03-08 20:37:12,9.3333,-82.25,91.08,70,4,7.65
115,Port Elizabeth,ZA,2022-03-08 20:33:29,-33.918,25.5701,70.11,83,75,5.75
116,Imbituba,BR,2022-03-08 20:36:59,-28.24,-48.6703,80.49,90,77,7.52
117,Gaoual,GN,2022-03-08 20:37:13,11.75,-13.2,87.48,16,32,4.41
118,Caramay,PH,2022-03-08 20:37:14,10.1815,119.236,76.69,91,100,6.8
119,Leningradskiy,RU,2022-03-08 20:35:35,69.3833,178.4167,-0.71,94,31,2.55
120,Montepuez,MZ,2022-03-08 20:37:14,-13.1256,38.9997,69.46,98,100,3.11
121,Hobart,AU,2022-03-08 20:37:15,-42.8794,147.3294,44.46,87,20,6.91
122,Homer,US,2022-03-08 20:37:16,59.6425,-151.5483,42.76,57,0,4.61
123,Kavieng,PG,2022-03-08 20:37:17,-2.5744,150.7967,81.77,79,86,14.83
124,Samarskoye,RU,2022-03-08 20:37:17,46.9336,39.6814,36.84,85,59,8.61
125,Krasnoselkup,RU,2022-03-08 20:37:18,65.7,82.4667,-26.18,97,88,11.39
126,Hasaki,JP,2022-03-08 20:37:11,35.7333,140.8333,34.29,62,32,15.93
127,Nelson Bay,AU,2022-03-08 20:37:19,-32.7167,152.15,69.96,96,100,1.99
128,Portland,US,2022-03-08 20:35:59,45.5234,-122.6762,51.42,87,100,5.99
