City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Mar Del Plata,AR,-38.0023,-57.5575,66.22,72,40,15.01,light rain
108,Gorontalo,ID,0.5412,123.0595,76.62,94,96,1.97,overcast clouds
109,Payakumbuh,ID,-0.2202,100.6308,70.14,95,98,2.86,overcast clouds
110,Kisangani,CD,0.5167,25.2,71.46,94,100,4.0,light rain
111,Puerto Ayora,EC,-0.7393,-90.3518,85.96,85,99,4.0,overcast clouds
112,Namibe,AO,-15.1961,12.1522,73.42,79,96,5.93,overcast clouds
113,Matay,EG,28.419,30.7792,54.48,38,98,16.91,overcast clouds
114,Tamale,GH,9.4008,-0.8393,94.91,17,66,1.54,broken clouds
115,Mehamn,NO,71.0357,27.8492,32.38,74,85,13.18,overcast clouds
116,Makakilo City,US,21.3469,-158.0858,79.12,63,0,13.8,clear sky
117,Simbahan,PH,6.3032,120.5836,81.05,80,97,3.22,overcast clouds
118,Varfurile,RO,46.3167,22.5167,25.11,56,0,3.24,clear sky
119,Airai,TL,-8.9266,125.4092,60.17,94,68,1.48,broken clouds
120,Cortes,ES,41.9395,-1.4396,53.65,90,100,4.63,overcast clouds
121,Goderich,CA,43.7501,-81.7165,27.91,80,100,9.22,overcast clouds
122,Painesville,US,41.7245,-81.2457,39.16,88,100,5.75,overcast clouds
123,Kamenka,RU,51.3223,42.7678,-2.78,99,8,6.82,clear sky
124,Harper,LR,4.375,-7.7169,80.24,86,99,8.43,overcast clouds
125,Luba,GQ,3.4568,8.5547,80.49,81,76,7.38,light rain
126,Ketchikan,US,55.3422,-131.6461,45.07,93,100,11.5,overcast clouds
127,San Lazaro,BZ,18.0387,-88.6622,90.7,39,0,9.93,clear sky
128,Namatanai,PG,-3.6667,152.4333,79.9,75,100,5.7,overcast clouds
129,Rangapara,IN,26.8167,92.65,69.03,34,6,2.84,clear sky
130,Bilibino,RU,68.0546,166.4372,-3.08,68,0,4.34,clear sky
131,Baisha,CN,26.5222,110.9311,64.42,86,1,3.33,clear sky
132,Westport,US,41.1415,-73.3579,56.28,53,0,9.22,clear sky
133,Lao Cai,VN,22.4833,103.95,67.87,96,92,0.87,overcast clouds
134,Lata,PT,40.1629,-8.3327,44.64,94,10,0.16,clear sky
135,Bang Saphan,TH,11.2126,99.5117,75.2,87,21,3.71,few clouds
136,Portland,US,45.5234,-122.6762,57.11,51,75,4.61,broken clouds
137,Nantucket,US,41.2835,-70.0995,48.25,76,0,9.22,clear sky
138,Codrington,AU,-38.2667,141.9667,48.52,87,5,5.91,clear sky
139,Martapura,ID,-3.4167,114.85,78.89,94,100,3.44,overcast clouds
140,Geraldton,AU,-28.7667,114.6,68.41,88,12,1.14,few clouds
141,Ponta Delgada,PT,37.7333,-25.6667,63.5,88,75,25.32,broken clouds
142,Banganapalle,IN,15.3167,78.2333,79.14,37,5,5.12,clear sky
143,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,45,10.11,scattered clouds
144,Hualmay,PE,-11.0964,-77.6139,76.71,71,51,9.37,broken clouds
145,Osorno,CL,-40.5667,-73.15,68.31,64,0,10.36,clear sky
146,Teguise,ES,29.0605,-13.564,62.82,63,20,9.22,few clouds
147,Okhotsk,RU,59.3833,143.3,6.91,82,94,16.06,overcast clouds
148,Atasu,KZ,48.6814,71.6433,21.56,92,84,9.98,broken clouds
149,Andra,RU,62.5147,65.8878,-0.85,95,100,7.92,overcast clouds
150,Vestmannaeyjar,IS,63.4427,-20.2734,42.94,69,100,15.35,overcast clouds
151,Hamilton,US,39.1834,-84.5333,54.23,63,100,16.11,overcast clouds
152,Kloulklubed,PW,7.0419,134.2556,83.07,79,78,16.55,broken clouds
153,Ngunguru,NZ,-35.6167,174.5,65.64,72,12,2.3,few clouds
154,Methoni,GR,36.8197,21.7049,40.86,87,85,11.95,overcast clouds
155,Haines Junction,CA,60.7522,-137.5108,26.55,68,100,6.91,overcast clouds
156,Vardo,NO,70.3705,31.1107,31.98,80,75,10.36,broken clouds
157,Lompoc,US,34.6391,-120.4579,75.02,22,0,6.91,clear sky
158,Yulara,AU,-25.2406,130.9889,64.24,32,0,5.75,clear sky
159,Bethel,US,41.3712,-73.414,54.9,46,0,10.36,clear sky
160,Umm Lajj,SA,25.0213,37.2685,66.11,53,96,16.82,overcast clouds
161,Georgetown,MY,5.4112,100.3354,82.33,93,20,5.01,few clouds
162,Yerofey Pavlovich,RU,53.9667,121.9667,-6.47,95,38,4.21,scattered clouds
163,Tezu,IN,27.9167,96.1667,70.86,27,23,4.72,few clouds
164,Cayenne,GF,4.9333,-52.3333,84.24,58,75,16.11,broken clouds
165,Consett,GB,54.854,-1.8316,47.23,90,100,17.27,light rain
166,Mandiana,GN,10.6333,-8.6833,87.57,12,92,4.41,overcast clouds
167,Camocim,BR,-2.9022,-40.8411,74.79,97,100,12.35,overcast clouds
168,Churapcha,RU,62.0025,132.4325,-18.92,100,100,1.32,overcast clouds
169,Colombo,LK,6.9319,79.8478,78.75,88,45,7.87,scattered clouds
170,Tautira,PF,-17.7333,-149.15,80.46,70,34,9.64,scattered clouds
171,Ellenabad,IN,29.45,74.65,67.5,33,0,1.34,clear sky
172,Kruisfontein,ZA,-34.0033,24.7314,72.59,77,53,11.41,broken clouds
173,Mildura,AU,-34.2,142.15,55.36,58,9,4.61,clear sky
174,Kwinana,AU,-32.25,115.7667,76.17,78,56,6.06,broken clouds
175,Sinnamary,GF,5.3833,-52.95,78.35,86,100,10.18,overcast clouds
176,Cape Town,ZA,-33.9258,18.4232,77.41,69,0,2.3,clear sky
177,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,75,6.91,light rain
178,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,91,100,19.17,overcast clouds
179,Mbeya,TZ,-8.9,33.45,61.75,91,100,3.13,overcast clouds
180,Cabo San Lucas,MX,22.8909,-109.9124,80.62,67,3,4.0,clear sky
181,Sorong,ID,-0.8833,131.25,77.22,86,100,3.6,overcast clouds
182,Bemidji,US,47.4736,-94.8803,6.91,60,0,24.16,haze
183,Awash,ET,8.9833,40.1667,79.75,39,68,5.08,broken clouds
184,Yellowknife,CA,62.456,-114.3525,0.41,85,100,3.44,light snow
185,Bandarbeyla,SO,9.4942,50.8122,78.06,67,87,10.78,overcast clouds
186,Port Blair,IN,11.6667,92.75,80.64,83,40,0.0,mist
187,Baiao,BR,-2.7906,-49.6717,76.6,92,100,1.5,overcast clouds
188,Srivardhan,IN,18.0333,73.0167,81.28,51,8,5.37,clear sky
189,Clovis,US,36.8252,-119.7029,68.04,30,0,3.44,clear sky
190,Lebu,CL,-37.6167,-73.65,63.86,71,0,17.27,clear sky
191,Cumbum,IN,9.7333,77.3,68.92,76,2,1.68,clear sky
192,San Pedro,PH,14.35,121.0167,81.63,81,75,4.61,broken clouds
193,Baykit,RU,61.67,96.37,-14.28,99,100,2.75,overcast clouds
194,Faya,SA,18.3851,42.4509,62.71,62,77,2.39,broken clouds
195,Robertson,US,36.5167,-86.8667,62.29,63,20,13.8,few clouds
196,Kizilskoye,RU,52.7255,58.8937,2.93,94,100,12.8,overcast clouds
197,Najran,SA,17.4924,44.1277,77.65,28,64,2.71,broken clouds
198,Faanui,PF,-16.4833,-151.75,81.61,70,19,10.63,few clouds
199,Izhma,RU,65.0083,53.9113,19.49,94,100,10.36,light snow
200,Ust-Nera,RU,64.5667,143.2,-11.29,99,78,2.86,broken clouds
201,Kipini,KE,-2.5257,40.5262,80.89,78,43,13.38,scattered clouds
202,Hermanus,ZA,-34.4187,19.2345,77.81,76,99,4.63,overcast clouds
203,Raiganj,IN,25.6167,88.1167,70.92,27,0,8.08,clear sky
204,Berlevag,NO,70.8578,29.0864,33.6,73,96,16.6,overcast clouds
205,Bafoulabe,ML,13.8065,-10.8321,92.08,9,50,6.13,scattered clouds
206,Yurga,RU,55.7231,84.8861,-18.26,100,55,5.08,broken clouds
207,Port Hardy,CA,50.6996,-127.4199,41.18,87,100,16.11,light rain
208,Lamar,US,33.6668,-95.5836,32.36,93,100,18.41,snow
209,Hovd,MN,48.0056,91.6419,18.73,70,100,3.04,overcast clouds
210,Aban,RU,56.67,96.06,-19.01,100,100,3.96,overcast clouds
211,Havelock,US,34.8791,-76.9013,58.95,86,100,5.75,overcast clouds
212,Beloha,MG,-25.1667,45.05,74.75,84,21,16.6,few clouds
213,Mahebourg,MU,-20.4081,57.7,79.09,89,75,6.91,broken clouds
214,Morrope,PE,-6.5417,-80.0111,84.31,47,14,15.01,few clouds
215,San Patricio,US,28.017,-97.5169,62.69,78,100,21.65,overcast clouds
216,Urumqi,CN,43.801,87.6005,34.75,81,0,4.47,clear sky
217,Cap-Aux-Meules,CA,47.3821,-61.8597,28.45,64,75,8.05,broken clouds
218,Pisco,PE,-13.7,-76.2167,80.65,57,0,9.22,clear sky
219,Yar-Sale,RU,66.8333,70.8333,-7.4,100,65,11.14,broken clouds
220,Huarmey,PE,-10.0681,-78.1522,77.29,72,67,9.73,broken clouds
221,Adiake,CI,5.2863,-3.304,81.27,81,80,8.37,broken clouds
222,Nanortalik,GL,60.1432,-45.2371,15.01,76,90,27.6,overcast clouds
223,Mecca,SA,21.4267,39.8261,69.75,50,0,7.99,clear sky
224,Jacareacanga,BR,-6.2222,-57.7528,82.0,90,94,2.46,light rain
225,Cortez,US,37.3489,-108.5859,40.03,24,0,13.8,clear sky
226,Strandby,DK,57.4915,10.4961,38.08,64,0,22.03,clear sky
227,Pingliang,CN,35.5392,106.6861,53.4,41,100,7.56,overcast clouds
228,Khandyga,RU,62.6667,135.6,-24.38,100,87,1.9,overcast clouds
229,Aswan,EG,24.0934,32.907,61.9,25,0,10.36,clear sky
230,Sibolga,ID,1.7427,98.7792,76.28,85,20,3.15,few clouds
231,Vilhena,BR,-12.7406,-60.1458,75.42,94,75,8.05,light rain
232,Northam,GB,51.0333,-4.2167,48.38,91,98,14.56,light rain
233,Gold Coast,AU,-28.0,153.4333,70.0,88,75,9.22,broken clouds
234,Youghal,IE,51.95,-7.8506,45.09,100,100,7.14,light rain
235,Canutama,BR,-6.5339,-64.3831,90.82,52,78,1.97,broken clouds
236,Palu,ID,-0.8917,119.8707,77.05,94,100,2.86,moderate rain
237,Dingle,PH,10.9995,122.6711,75.85,92,95,5.01,overcast clouds
238,Qaanaaq,GL,77.484,-69.3632,-9.99,74,36,5.23,scattered clouds
239,Paragominas,BR,-2.9667,-47.4833,75.38,97,100,2.93,overcast clouds
240,Zhoucun,CN,36.8167,117.8167,52.32,67,64,5.55,broken clouds
241,Peniche,PT,39.3558,-9.3811,55.29,82,1,10.33,clear sky
242,North Bend,US,43.4065,-124.2243,62.24,82,0,5.75,clear sky
243,Provideniya,RU,64.3833,-173.3,20.32,49,0,12.15,clear sky
244,Tupik,RU,54.4253,119.9327,-6.86,99,99,1.05,overcast clouds
245,Margate,GB,51.3813,1.3862,50.88,82,100,5.01,overcast clouds
246,Manicore,BR,-5.8092,-61.3003,83.59,82,65,2.19,broken clouds
247,Bend,US,44.0582,-121.3153,59.14,17,0,6.91,clear sky
248,Lodja,CD,-3.4833,23.4333,69.98,98,100,1.66,light rain
249,Srandakan,ID,-7.9386,110.2506,76.19,93,100,8.32,overcast clouds
250,Ikungi,TZ,-5.1333,34.7667,62.06,90,77,4.94,broken clouds
251,Zhob,PK,31.3411,69.4481,64.26,42,0,4.34,clear sky
252,Naze,JP,28.3667,129.4833,58.57,67,0,3.13,clear sky
253,Kaitangata,NZ,-46.2817,169.8464,55.94,80,100,16.87,overcast clouds
254,Aguimes,ES,27.9054,-15.4461,61.66,72,20,18.41,few clouds
255,Kamina,CD,-8.7386,24.9906,64.54,96,100,4.59,light rain
256,Luderitz,NA,-26.6481,15.1594,71.51,72,4,4.76,clear sky
