City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
237,Dingle,PH,75.85,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
239,Paragominas,BR,75.38,overcast clouds,-2.9667,-47.4833,INOVA
246,Manicore,BR,83.59,broken clouds,-5.8092,-61.3003,Hotel Durval
249,Srandakan,ID,76.19,overcast clouds,-7.9386,110.2506,Puri Brata
268,Buala,SB,80.24,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
269,Wajir,KE,87.37,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
271,Campoverde,PE,83.89,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
272,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
275,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Lamu House
281,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
282,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
283,Luang Prabang,LA,75.99,clear sky,19.8856,102.1347,The Apsara
290,Isangel,VU,79.36,clear sky,-19.55,169.2667,Tanna Lodge
294,Honiara,SB,77.61,overcast clouds,-9.4333,159.95,Heritage Park Hotel
295,Rurrenabaque,BO,87.69,scattered clouds,-14.4413,-67.5278,Casa de Campo
301,Samarai,PG,82.6,overcast clouds,-10.6167,150.6667,Nuli Sapi
305,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
309,Brasilia De Minas,BR,79.48,overcast clouds,-16.2064,-44.4333,Hotel Neris
310,Vao,NC,79.25,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
311,Pimentel,PE,84.49,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
321,Dhidhdhoo,MV,82.49,clear sky,6.8833,73.1,Dhidhoo beach
322,Finschhafen,PG,80.15,overcast clouds,-6.6024,147.8681,Cossam Guest House
324,Hobyo,SO,78.03,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
326,Kano,NG,83.75,broken clouds,12.0001,8.5167,Royal Tropicana Hotel
327,Belmonte,BR,81.64,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
331,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
332,Cavalcante,BR,79.05,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
334,Maxixe,MZ,78.62,few clouds,-23.8597,35.3472,Oceano
339,Ixtapa,MX,83.88,clear sky,20.7,-105.2,hotel la terminal
349,Kavaratti,IN,81.88,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
352,Alyangula,AU,76.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
353,Wewak,PG,78.6,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
354,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
356,Formosa,AR,84.18,broken clouds,-26.1775,-58.1781,Asterión Hotel
360,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
361,San Luis,AR,77.76,clear sky,-33.295,-66.3356,Huarpes Hotel
366,Lubao,PH,76.35,broken clouds,14.9167,120.55,Hacienda Gracia
368,Anapolis,BR,87.4,broken clouds,-16.3267,-48.9528,Hotel Anápolis
383,Bontang,ID,78.69,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
387,Maputo,MZ,80.28,scattered clouds,-25.9653,32.5892,Pestana Rovuma
